Episode,Reward,Length
1,-13536.275,500
2,-2838.3562,134
3,-2845.9922,117
4,-3465.9414,133
5,-3048.3926,157
6,-3837.2004,187
7,-11189.432,500
8,-8764.209,390
9,-4988.108,190
10,-3164.1018,131
11,-4036.074,160
12,-5920.6914,223
13,-7046.512,390
14,-1901.8497,86
15,-3754.0737,164
16,-4005.1846,142
17,-4649.525,152
18,-5782.0454,209
19,-2875.835,128
20,-4051.1985,178
21,-5232.088,195
22,-6541.48,264
23,-10815.378,500
24,-6516.2695,225
25,-12169.101,500
26,-11178.557,500
27,-7855.1665,287
28,-5143.5605,191
29,-2819.4753,112
30,-2831.188,120
31,-3022.2725,119
32,-4597.0347,207
33,-5350.3716,178
34,-2005.3651,81
35,-1835.4133,88
36,-3348.15,147
37,-2180.2615,78
38,-3964.8984,182
39,-8403.673,323
40,-10886.799,500
41,-1882.581,76
42,-5352.8174,225
43,-2965.938,107
44,-2079.076,78
45,-2362.693,97
46,-1686.6005,77
47,-829.5111,33
48,-3284.2327,129
49,-2730.6646,94
50,-2494.6814,87
51,-1897.3274,70
52,-3664.5068,136
53,-12870.249,500
54,-2612.7527,85
55,-14098.486,489
56,-13069.046,500
57,-1247.7971,62
58,-1590.8115,57
59,-3362.4863,126
60,-1719.6843,64
61,-2510.8494,96
62,-1462.7523,62
63,-1917.5132,69
64,-6907.3936,270
65,-2336.358,83
66,-11894.235,500
67,-1858.5712,78
68,-1740.9891,75
69,-884.2203,32
70,-13600.384,500
71,-2221.9822,92
72,-4921.623,177
73,-2382.9724,103
74,-14430.896,500
75,-2093.0764,94
76,-1880.2107,92
77,-4111.3433,147
78,-4386.434,161
79,-2761.0923,102
80,-1649.4015,70
81,-735.23804,35
82,-2476.2183,85
83,-2172.0857,91
84,-2192.1394,92
85,-4449.293,194
86,-4002.9954,137
87,-1659.5907,71
88,-1768.0216,70
89,-2171.1533,95
90,-3869.0234,157
91,-1882.7804,70
92,-1574.5798,65
93,-1924.0526,76
94,-1783.0138,83
95,-3625.037,127
96,-14605.075,500
97,-10891.734,500
98,-12692.644,500
99,-1025.5746,50
100,-1316.9338,44
101,-13133.32,500
102,-1619.4485,67
103,-916.1649,40
104,-783.78625,34
105,-1151.7117,39
106,-1091.7129,42
107,-1117.2849,62
108,-9811.86,500
109,-7151.1,244
110,-14167.235,500
111,-12767.139,500
112,-669.12964,26
113,-1762.6191,67
114,-11845.332,500
115,-2213.869,71
116,-1337.3364,46
117,-1152.4897,50
118,-1873.3873,82
119,-830.3719,29
120,-1583.0798,61
121,-11293.518,466
122,-1369.6328,63
123,-1048.3064,42
124,-908.94006,30
125,-1238.2205,50
126,-1597.9786,55
127,-1938.9503,86
128,-2651.2937,108
129,-1575.5162,57
130,-1017.3263,34
131,-13480.604,500
132,-1374.9822,67
133,-1943.3618,76
134,-2022.2048,66
135,-1287.7776,47
136,-951.8621,45
137,-1020.11115,37
138,-1551.7028,65
139,-9616.313,500
140,-1192.9062,47
141,-1352.727,43
142,-1757.1237,58
143,-13204.899,500
144,-1601.1171,61
145,-2268.796,94
146,-1978.1246,78
147,-2169.1438,87
148,-10344.497,500
149,-1381.7372,59
150,-1506.1411,57
151,-2183.7131,74
152,-1021.20404,38
153,-3433.1648,127
154,-1807.1813,69
155,-647.8005,25
156,-568.2437,19
157,-1405.9009,51
158,-2186.9617,98
159,-1036.4922,43
160,-1279.0253,70
161,-2251.6968,80
162,-2324.949,91
163,-964.1422,44
164,-2446.6772,91
165,-1772.5027,68
166,-2515.1523,110
167,-1398.6722,50
168,-10954.376,500
169,-1335.3057,67
170,-12837.47,500
171,-2166.7402,77
172,-1993.175,83
173,-825.0856,38
174,-689.0195,28
175,-1856.4758,80
176,-1743.7643,70
177,-12212.006,500
178,-1960.4764,85
