#{"t_start": 1750660741.1835089, "env_id": "None"}
r,l,t
-9785.232429,500,0.480235
-6346.645064,500,0.953573
-7008.12134,500,1.427392
-497.43356,55,1.483372
-166.56356,14,1.499973
-8103.443783,500,1.972404
-8253.949875,500,2.44188
-2637.691074,181,2.616251
-698.274978,70,2.684835
-9842.348822,500,3.153709
-7383.14336,500,3.632187
-828.47664,93,3.72611
-8145.947459,500,4.195692
-2374.042587,213,4.399754
-9124.95356,500,4.876093
-312.423699,26,4.905511
-630.674343,49,4.955322
-8829.899538,500,5.43143
-172.83494,16,5.449909
-361.52365,35,5.485781
-6735.21928,500,5.959378
-8014.439793,500,6.43107
-6587.949622,500,6.90419
-9272.144764,500,7.376799
-361.90295,31,7.409099
-8035.800052,500,7.884958
-9451.828345,500,8.360556
-5617.338173,500,8.837392
-10315.257924,500,9.308834
-230.238663,22,9.33211
-689.488782,65,9.394075
-7507.714557,500,9.865529
-8528.222351,500,10.338441
-1291.54637,99,10.434914
-126.494985,11,10.448658
-11101.584125,500,10.922213
-9843.590186,500,11.391012
-8453.982757,500,11.860705
-9815.486121,500,12.327454
-433.035842,39,12.368185
-3140.409872,264,12.615053
-11643.69283,500,13.084398
-10133.169195,500,13.554475
-8777.943586,500,14.052889
-6492.104197,500,14.531941
-9822.172642,500,15.013034
-7963.144999,500,15.491155
-1035.256273,109,15.605153
-417.725813,38,15.646025
-6251.707898,500,16.123878
-12665.383645,500,16.605754
-9331.577103,500,17.112977
-8241.103147,500,17.617224
-11382.925785,500,18.099797
-9629.80514,500,18.586776
-8600.65712,500,19.076231
-494.401931,49,19.135256
-8205.61426,500,19.617747
-2973.185245,256,19.861952
-8287.747654,500,20.340364
-6873.351653,500,20.8173
-8192.575379,500,21.291706
-8516.536485,500,21.767642
-7579.605182,500,22.245416
-310.997694,31,22.278265
-10743.203711,500,22.754166
-9759.369989,500,23.228946
-8360.42203,500,23.712041
-988.332973,98,23.807476
-9050.63414,500,24.283598
-8108.440506,500,24.762423
-7889.976646,500,25.237662
-9756.683152,500,25.71658
-9046.956752,500,26.209814
-254.296686,25,26.238881
-263.294185,22,26.263859
-3003.103281,247,26.514949
-9880.505099,500,26.988982
-336.990867,29,27.020753
-8653.740478,500,27.49694
-12366.936943,500,27.977868
-9680.835922,500,28.452307
-1399.196911,123,28.571217
-1845.93398,176,28.739951
-620.431165,57,28.803286
-2459.326312,212,29.013808
-7165.384714,500,29.492341
-10379.679301,500,29.966323
-1021.402494,77,30.041505
-1221.955614,116,30.154281
-9353.050043,500,30.628839
-346.058168,29,30.658921
-6960.249216,500,31.145088
-1886.956404,145,31.288147
-2096.325008,191,31.476203
-8467.443053,500,31.96235
-9031.795593,500,32.460818
-8631.356585,500,32.947622
-8671.31325,500,33.432951
-663.244285,58,33.493872
-8442.219717,500,34.081389
-8552.144772,500,34.589866
-678.035908,53,34.643256
-1240.047917,93,34.736085
-466.816834,41,34.784965
-7712.237856,500,35.278175
-10169.250193,500,35.76591
-157.355567,13,35.782241
-7327.197484,500,36.269252
-263.042299,22,36.292928
-1051.906662,88,36.385326
-9631.064911,500,36.872651
-1112.189088,99,36.971438
-799.263195,103,37.073853
-8519.429291,500,37.555413
-751.082755,67,37.625648
-8004.732613,500,38.110463
-7185.014867,500,38.59385
-6185.697374,500,39.068458
-8994.56115,500,39.543068
-159.635933,16,39.563414
-165.870703,14,39.580821
-11749.513027,500,40.051816
-1139.028486,124,40.170206
-470.996418,41,40.213449
-465.414566,38,40.25117
-11269.4895,500,40.723937
-184.337659,16,40.742421
-9068.00054,500,41.214903
-220.545791,18,41.235009
-391.807857,34,41.269303
-8122.182951,500,41.739254
-1706.827612,134,41.869358
-10430.656886,500,42.339932
-10510.955486,500,42.815203
-8930.267694,500,43.294354
-6822.931795,500,43.771652
-9798.54451,500,44.243711
-6914.106112,383,44.608212
-7249.956372,500,45.081211
-6166.733565,410,45.468426
-568.000242,53,45.523102
-246.600306,23,45.548339
-1002.76347,104,45.649122
-8505.109632,500,46.12652
-8194.932229,500,46.600597
-319.383299,28,46.631377
-7456.770851,472,47.077724
-502.184225,42,47.123811
-9512.408836,500,47.593794
-802.890048,69,47.663807
-655.774734,73,47.73654
-407.870595,33,47.770627
-884.510821,75,47.844475
-6746.846047,500,48.331576
-7034.651941,500,48.824754
-8257.356083,500,49.315234
-9549.457801,500,49.806419
-487.613409,47,49.854298
-7216.950936,500,50.345071
-7399.339153,500,50.838213
