#{"t_start": 1750636327.971275, "env_id": "None"}
r,l,t
-21.432239,39,1.771831
-28.997024,60,2.854162
-37.272337,59,3.854027
-31.688613,68,4.966647
-19.997404,38,5.816227
-14.991084,23,6.204025
-33.66676,58,7.149832
-60.643257,92,8.664713
-35.971743,55,9.564526
-23.081716,50,10.557821
-16.451354,30,11.045893
-31.601683,71,12.199
-28.966673,87,13.606092
-23.213481,36,14.190385
-38.599522,70,15.516412
-26.763961,35,16.101166
-26.996064,39,16.737282
-18.329374,38,17.362237
-45.610582,120,19.506428
-88.566279,218,23.240369
-17.999659,33,23.775013
-22.194441,40,24.432559
-24.431189,51,25.277533
-30.157428,49,26.087811
-100.135954,184,29.31409
-30.200229,54,30.198217
-17.174328,25,30.607908
-12.397439,25,31.022534
-14.948547,23,31.405412
-20.9169,38,32.208518
-21.137578,46,32.947117
-19.90313,36,33.541775
-21.275854,47,34.333625
-14.679659,20,34.666299
-38.521689,53,35.538996
-44.072144,91,37.233875
-11.474503,17,37.511661
-12.367876,19,37.825638
-19.461352,40,38.479466
-20.914641,36,39.072757
-15.642493,20,39.400564
-13.101546,19,39.724741
-19.348346,36,40.323827
-14.213318,23,40.887585
-27.041705,35,41.472663
-15.926348,37,42.079435
-52.024918,73,43.293509
-9.708718,12,43.496112
-17.690897,27,43.94445
-12.00118,21,44.29185
-13.679906,23,44.676279
-11.694072,17,44.963822
-17.712996,44,45.942631
-8.942206,12,46.144217
-5.684203,18,46.437837
-12.992038,25,46.844961
-14.240673,18,47.149521
-12.603326,15,47.397341
-12.700784,23,47.780699
-15.41154,19,48.09392
-24.836238,40,48.755272
-14.753308,38,49.382536
-7.551623,30,50.066564
-14.239643,20,50.39685
-17.715036,29,50.873113
-14.217965,18,51.173122
-23.719698,30,51.668836
-10.004487,16,51.93244
-12.230814,23,52.313477
-31.632262,43,53.030213
-19.529513,27,53.476712
-9.259503,30,54.162118
-18.365078,24,54.562891
-16.504833,21,54.908508
-16.891651,25,55.335392
-15.469965,30,55.841914
-11.616667,20,56.176336
-14.284328,26,56.606737
-17.324498,33,57.153622
-15.128232,22,57.516855
-12.293639,19,57.823789
-23.295983,30,58.324457
-18.631105,29,58.984633
-13.033068,16,59.251996
-4.82422,17,59.529277
-31.374847,42,60.230885
-13.631429,25,60.648794
-9.957229,13,60.866157
-12.035568,14,61.097202
-18.360949,29,61.586394
-12.35086,19,61.900134
-13.261198,27,62.351532
-14.821767,23,62.73438
-13.167411,21,63.262544
-18.541352,27,63.714568
-11.885505,14,63.954628
-19.06847,24,64.356415
-9.792979,14,64.588581
-12.020608,13,64.807665
-11.665467,13,65.020861
-14.962474,22,65.382007
-11.195281,12,65.586736
-15.61775,23,65.971206
-15.272765,24,66.372556
-10.518846,16,66.633841
-14.068527,23,67.0153
-11.589417,13,67.233857
-12.905047,20,67.748429
-10.074973,13,67.964988
-22.864254,33,68.519027
-9.843455,13,68.732462
-10.416578,13,68.952828
-15.842141,25,69.363241
-19.42775,29,69.846925
-17.108788,25,70.261389
-12.863149,16,70.527481
-15.039695,21,70.875538
-9.389877,11,71.056524
-11.653301,13,71.271268
-4.980076,17,71.559817
-24.945559,45,72.487187
-9.210828,13,72.701191
-9.708619,11,72.880711
-9.392179,13,73.098517
-17.930139,23,73.472993
-13.564308,27,73.930913
-13.453842,19,74.239708
-12.619767,18,74.537544
-8.178856,23,74.931341
-8.07726,25,75.343858
-11.334201,13,75.556213
-9.528524,12,75.759124
-15.243217,21,76.113234
-17.485657,24,76.702086
-10.119301,12,76.899059
-9.683943,12,77.100791
-11.84052,17,77.393119
-12.456836,23,77.769524
-11.571936,16,78.038182
-10.71384,16,78.304687
-9.449488,11,78.488559
-10.772553,14,78.716386
-11.29989,12,78.915605
-9.28782,11,79.098401
-13.465542,18,79.399183
-11.685019,14,79.627568
-17.381972,26,80.059807
-15.334232,24,80.45585
-9.389535,14,80.872248
-18.142675,28,81.337876
-9.956854,13,81.555696
-13.986061,20,81.884894
-12.20135,15,82.13627
-17.313955,21,82.485318
-17.76777,28,82.95822
-19.506982,29,83.452104
-9.211803,12,83.658573
-15.692787,19,83.972788
-17.574052,25,84.392492
-15.346448,20,84.728325
-15.948015,32,85.444759
-9.641125,13,85.659641
-11.725539,14,85.895846
-12.535197,29,86.387883
-14.846174,23,86.765494
-11.981487,17,87.047497
-10.886863,12,87.247438
-15.300772,19,87.565706
-16.097749,24,87.953452
-15.807912,19,88.274708
-15.808397,23,88.647396
-9.897032,14,88.874777
