Episode,Reward,Length
1,-17965.178,500
2,-10956.483,189
3,-12258.625,221
4,-27684.941,500
5,-12166.506,212
6,-5937.5127,142
7,-19396.52,500
8,-9065.386,187
9,-13008.972,200
10,-15598.133,273
11,-26412.521,500
12,-13017.307,178
13,-7089.6265,153
14,-16429.4,268
15,-14243.428,319
16,-11701.395,227
17,-9970.562,189
18,-6905.426,172
19,-13959.637,191
20,-13027.503,208
21,-7722.2715,114
22,-6844.8496,180
23,-12287.065,274
24,-7708.3276,182
25,-24288.707,440
26,-22455.965,500
27,-3374.325,80
28,-10503.334,208
29,-2498.7705,48
30,-29561.375,500
31,-4105.5767,61
32,-5912.7407,102
33,-2855.3677,74
34,-28600.293,500
35,-3115.4797,75
36,-3912.7173,62
37,-7425.755,143
38,-19393.219,500
39,-11922.717,162
40,-8204.082,127
41,-3067.703,58
42,-20383.004,432
43,-3169.1765,55
44,-2441.5884,57
45,-22729.383,500
46,-29723.953,500
47,-24040.56,500
48,-23687.994,500
49,-1132.4258,24
50,-5444.272,74
51,-4317.3223,58
52,-3024.82,44
53,-2620.4329,41
54,-4136.576,68
55,-27010.277,500
56,-21729.83,412
57,-2446.9587,44
58,-5408.6978,88
59,-5015.549,73
60,-1647.6504,34
61,-4041.0498,70
62,-1567.381,30
63,-1970.106,43
64,-24649.855,500
65,-5703.935,100
66,-1951.9371,39
67,-4244.253,70
68,-18194.43,500
69,-27600.086,500
70,-31146.156,500
71,-1053.2954,22
72,-4246.6875,59
73,-2280.6584,38
74,-3038.603,75
75,-1251.8987,24
76,-3053.9915,51
77,-2275.3318,37
78,-8061.3013,180
79,-2712.5586,61
80,-7515.4995,118
81,-4417.2417,83
82,-4263.763,83
83,-2836.372,55
84,-4458.421,148
85,-1446.2596,43
86,-3886.597,58
87,-3780.8086,73
88,-3558.1667,60
89,-7035.1875,108
90,-1596.9049,33
91,-2051.8733,50
92,-2993.6897,55
93,-3031.2651,46
94,-4714.0127,70
95,-7573.5425,120
96,-5441.809,91
97,-2182.1099,43
98,-5419.6777,81
99,-2323.3552,35
100,-6380.15,75
101,-2604.0303,46
102,-3888.7737,77
103,-2885.0024,53
104,-1418.2555,44
105,-2804.6194,55
106,-35208.164,500
107,-2885.9172,53
108,-2504.7922,38
109,-4801.0864,70
110,-1414.836,24
111,-2766.1514,40
112,-2588.1365,54
113,-2275.0103,57
114,-6188.694,86
115,-5467.1284,137
116,-17776.338,460
117,-1586.4321,33
118,-4636.067,69
119,-6103.483,86
120,-1617.4303,33
121,-2833.5447,47
122,-2049.822,49
123,-2799.8533,43
124,-2142.966,66
125,-2824.2546,55
126,-1966.0474,39
127,-3190.0598,53
128,-4297.3037,75
129,-19245.475,500
130,-1693.9719,27
131,-7007.912,117
132,-24642.963,500
133,-3616.9841,53
134,-2506.4937,51
135,-4469.3745,95
136,-1716.0463,35
137,-6613.687,84
138,-2525.3833,46
139,-20045.445,500
